ident,name,iso_country,iso_region,iata_code
CTJ2,Québec (Coast Guard) Heliport,CA,CA-QC,
CTJ5,Quebec / Hôpital de l'enfant-Jésus Heliport,CA,CA-QC,
CTK2,Senneterre Airport,CA,CA-QC,
CTK6,Kegaska Airport,CA,CA-QC,ZKG
CTK7,Selkirk / Kindy Airstrip,CA,CA-ON,
CTK8,Abbotsford (Teck),CA,CA-BC,
CTM2,Temagami/Mine Landing Seaplane Base,CA,CA-ON,
CTM3,Chute-Des-Passes/Lac Margane Seaplane Base,CA,CA-QC,YWQ
CTM4,Toronto (St. Michael's Hospital) Heliport,CA,CA-ON,
CTM6,Timmins & District Hospital Heliport,CA,CA-ON,
CTM7,Tundra Mine/Salamita Mine Aerodrome,CA,CA-NT,
CTM8,Témiscouata-sur-le-Lac Water Aerodrome,CA,CA-QC,
CTM9,New Oakville Trafalgar Memorial Hospital Heliport,CA,CA-ON,
CTN3,Lac Beauregard Seaplane Base,CA,CA-QC,
CTN6,Treherne (South Norfolk Airpark) Airport,CA,CA-MB,
CTN7,Canton Aerodrome,CA,CA-ON,
CTP3,Barrage Gouin Seaplane Base,CA,CA-QC,
CTP4,Lac Pau (Caniapiscau) Seaplane Base,CA,CA-QC,
CTP5,St. Paul (Health Care Centre) Heliport,CA,CA-AB,
CTP9,Donaldson Airport,CA,CA-QC,YAU
CTQ2,Weller Airport,CA,CA-QC,
CTQ3,Aguanish Seaplane Base,CA,CA-QC,
CTQ4,Lennoxville (Airview) Airport,CA,CA-QC,
CTQ6,St-Anselme Airport,CA,CA-QC,
CTR4,Artopex Plus Heliport,CA,CA-QC,
CTR5,Val-D'Or / L'Escale Heliport,CA,CA-QC,
CTR6,St-Basile (Marcotte) Airport,CA,CA-QC,
CTR7,Ottawa / Rockcliffe Seaplane Base,CA,CA-ON,TR7
CTS2,Quebec / Beauport (HQ) Heliport,CA,CA-QC,
CTS3,Lac Berthelot Seaplane Base,CA,CA-QC,
CTS6,Hespero / Safron Residence Heliport,CA,CA-AB,
CTT2,Chambly Airport,CA,CA-QC,
CTT5,La Romaine Airport,CA,CA-QC,ZGS
CTU2,Fontanges Airport,CA,CA-QC,YFG
CTU4,Lac Gagnon Seaplane Base,CA,CA-QC,YGA
CTU5,La Tabatière Airport,CA,CA-QC,ZLT
CTV2,Lac-Des-Écorces Seaplane Base,CA,CA-QC,
CTX2,Lac Trévet Seaplane Base,CA,CA-QC,
CTY3,Cascades Seaplane Base,CA,CA-QC,
CTY4,Olds / North 40 Ranch Airstrip,CA,CA-AB,
CTY5,Rougemont Airport,CA,CA-QC,
CU-0001,Corral de Rio Airport,CU,CU-13,
CU-0003,Preston Airport,CU,CU-11,PST
CU-0004,Guardalavaca Airport,CU,CU-11,
CU-0005,El Caney Airport,CU,CU-09,
CU-0006,La Olivia Airport,CU,CU-09,
CU-0007,San Pedro Airport,CU,CU-07,
CU-0008,Mantua Airport,CU,CU-01,
CU-0009,La Asunción Airport,CU,CU-01,
CU-0010,El Frances Airport,CU,CU-01,
CU-0011,Juan de la Cruz Airport,CU,CU-02,
CU-0012,Artemisa Airport,CU,CU-02,
CU-0013,SanPedro Highway Airstrip,CU,CU-03,
CU-0014,San Jose de las Lajas Hgway Airstrip,CU,CU-02,
CU-0015,McCalla Field,CU,CU-14,
CU-0016,La Francia Airfield,CU,CU-01,
CU-0017,Imias Airport,CU,CU-14,
CU-0018,Los Mangos de Baragua Airport,CU,CU-13,
CU-0019,Altagracia Airport,CU,CU-13,
CU-0020,Lora Airport,CU,CU-11,
CU-0021,Delicias South Airport,CU,CU-11,
CU-0022,Caio Voisan Airport,CU,CU-12,
CU-0023,Bayamo Northwest Airport,CU,CU-12,
CU-0024,Mateo Roman Airport,CU,CU-12,
CU-0025,La Escondida Airport,CU,CU-12,
CU-0026,Cayama Nueva Airport,CU,CU-12,
CU-0027,Guamo Airport,CU,CU-12,
CU-0028,Puente Guillen Airport,CU,CU-12,
CU-0029,El Dormitorio Airport,CU,CU-10,
CU-0030,San German Airport,CU,CU-11,
CU-0031,El Congo Airport,CU,CU-10,
CU-0032,Jobabo Northwest Airport,CU,CU-09,
CU-0033,Campechuela Airport,CU,CU-12,
CU-0034,San Jose Northwest Airport,CU,CU-10,
CU-0035,Francisco Airport,CU,CU-10,
CU-0036,Hatuey Airport,CU,CU-09,
CU-0037,Guaicanamar Airport,CU,CU-09,
CU-0038,Fundo de Buena Ventura Airport,CU,CU-09,
CU-0039,Los Ingleses Airport,CU,CU-09,
CU-0040,San Carlos Airport,CU,CU-09,
CU-0041,Las Cruces Airport,CU,CU-09,
CU-0042,Vertientes Southwest Airport,CU,CU-09,
CU-0043,Vertientes Airport,CU,CU-09,
CU-0044,Cabera Airport,CU,CU-09,
CU-0045,El Cenizo Airport,CU,CU-09,
CU-0046,Amansa Guapos Airport,CU,CU-09,
CU-0047,Esmeralda Airport,CU,CU-09,
CU-0048,Cupeyes Airport,CU,CU-08,
CU-0049,Moron Airport,CU,CU-08,
CU-0050,Pina Airport,CU,CU-08,
CU-0051,El Asiento Airport,CU,CU-08,
CU-0052,Adelaide Airport,CU,CU-08,
CU-0053,Jatibonico South Airport,CU,CU-07,
CU-0054,Ramblazon de Reyes Airport,CU,CU-08,
CU-0055,Las Crisis Airport,CU,CU-07,
CU-0056,Maria Rayes Airport,CU,CU-07,
CU-0057,Las Obas Airport,CU,CU-07,
CU-0058,Los Galleguitos East Airport,CU,CU-07,
CU-0059,El Jibaro Airport,CU,CU-07,
CU-0060,Los Tamarindos Airport,CU,CU-07,
CU-0061,Las Guasimas Airport,CU,CU-07,
CU-0062,Viejo Airport,CU,CU-05,
CU-0063,Jutiera Airport,CU,CU-05,
CU-0064,Purio Airport,CU,CU-05,
CU-0065,Las Nuevas Airport,CU,CU-05,
CU-0066,Marti East Airport,CU,CU-04,
CU-0067,Los Arabos Airport,CU,CU-04,
CU-0068,Mieles Airport,CU,CU-04,
CU-0069,Jaguey Grande North Airport,CU,CU-04,
CU-0070,Giron Airport,CU,CU-04,
CU-0071,Union de Reyes Airport,CU,CU-04,
CU-0072,Aguacate Airport,CU,CU-02,
CU-0073,Santa Fe Airport,CU,CU-03,
CU-0074,Guira de Melena Airport,CU,CU-02,
CU-0075,Branas Airport,CU,CU-01,
CU-0076,Alturas Airport,CU,CU-01,
CU-0077,La Cubana Airport,CU,CU-01,
CU-0078,Los Zagales Airport,CU,CU-01,
CU-0079,Caserio la Jocuma North Airport,CU,CU-01,
CU-0080,Las Cruces Airport,CU,CU-01,
CU-0081,Las Glorias Airport,CU,CU-06,
CUJ,Culion Airport,PH,PH-PLW,CUJ
cvb2,Voisey's Bay,CA,CA-NL,
CVF2,Fergus (Vodarek Field),CA,CA-ON,
CVG8,Vegreville (St. Joseph's General Hospital) Heliport,CA,CA-AB,
CVH,Hollister Municipal Airport,US,US-CA,HLI
CVH2,Vermilion Health Centre Heliport,CA,CA-AB,
CVH7,Vulcan (Hospital) Heliport,CA,CA-AB,
CVK2,Viking Health Centre Helipad,CA,CA-AB,
CVL,Cape Vogel Airport,PG,PG-MBA,CVL
CVL3,Varty Lake Airport,CA,CA-ON,
CVM2,Victor Mine Airport,CA,CA-ON,
CVP2,Île Sainte-Hélène Water Airport,CA,CA-QC,
CVR,Hughes Airport,US,US-CA,CVR
CVS2,Viking (South) Airport,CA,CA-AB,
CVS3,Surrey Memorial Hospital Helipad,CA,CA-BC,
CVW2,Vernon/Wildlife Seaplane Base,CA,CA-BC,
CWB2,Bracebridge West Airfield,CA,CA-ON,
CWC1,White City (Radomsky) Airport,CA,CA-SK,
CWC2,Kelowna (Wildcat Helicopters) Heliport,CA,CA-BC,
CWC4,Wetaskiwin (Hospital & Care Centre) Heliport,CA,CA-AB,
CWCV,Nootka Lightstation Helipad,CA,CA-BC,
CWD2,Alta Heliport,CA,CA-ON,
CWD3,Hamilton/Waterdown Heliport,CA,CA-ON,
cwf2,Walter's Falls (Piper Way) Airfield,CA,CA-ON,
CWG2,Winnipeg (City of Winnipeg) Heliport,CA,CA-MB,
CWH2,Wainwright (Health Centre) Heliport,CA,CA-AB,
CWH3,Woodstock (Hospital) Heliport,CA,CA-ON,
CWH4,Winchester District Memorial Hospital Heliport,CA,CA-ON,
CWJC,Ennadai Lake Airport,CA,CA-NU,
cwp3,Leslieville / W. Pidhirney Residence Heliport,CA,CA-AB,
CWZM,Boat Bluff Lighthouse Helipad,CA,CA-BC,
CXC,Chitina Airport,US,US-AK,CXC
CY-0001,Lakatamia Airfield,CY,CY-02,
CY-0002,Lefkoniko Airport,CY,CY-03,GEC
CY-0003,Pınarbaşı Air Base,CY,CY-01,
CY-0004,Kingsfield Air Base,CY,CY-04,
CY-0005,Kornos Highway Strip,CY,CY-04,
CY-0006,Kophinou Highway Strip,CY,CY-04,
CY-0007,Marki Airfield,CY,CY-02,
CY-0008,RAF Ayios Nikolaos Air Base,CY,CY-04,
CY-NIC,Nicosia International Airport,CY,CY-02,NIC
CYAB,Arctic Bay Airport,CA,CA-NU,YAB
CYAC,Cat Lake Airport,CA,CA-ON,YAC
CYAD,La Grande-3 Airport,CA,CA-QC,YAR
CYAG,Fort Frances Municipal Airport,CA,CA-ON,YAG
CYAH,La Grande-4 Airport,CA,CA-QC,YAH
CYAL,Alert Bay Airport,CA,CA-BC,YAL
CYAM,Sault Ste Marie Airport,CA,CA-ON,YAM
CYAQ,Kasabonika Airport,CA,CA-ON,XKS
CYAS,Kangirsuk Airport,CA,CA-QC,YKG
CYAT,Attawapiskat Airport,CA,CA-ON,YAT
CYAU,Liverpool South Shore Regional Airport,CA,CA-NS,
CYAV,Winnipeg / St. Andrews Airport,CA,CA-MB,
CYAW,Halifax / CFB Shearwater Heliport,CA,CA-NS,
CYAX,Lac Du Bonnet Airport,CA,CA-MB,
CYAY,St. Anthony Airport,CA,CA-NL,YAY
CYAZ,Tofino / Long Beach Airport,CA,CA-BC,YAZ
CYB3,Nelson/Baylock Estate Heliport,CA,CA-BC,
CYBA,Banff Airport,CA,CA-AB,YBA
CYBB,Kugaaruk Airport,CA,CA-NU,YBB
CYBC,Baie Comeau Airport,CA,CA-QC,YBC
CYBD,Bella Coola Airport,CA,CA-BC,QBC
CYBE,Uranium City Airport,CA,CA-SK,YBE
CYBF,Bonnyville Airport,CA,CA-AB,YBY
CYBG,CFB Bagotville,CA,CA-QC,YBG
CYBK,Baker Lake Airport,CA,CA-NU,YBK
CYBL,Campbell River Airport,CA,CA-BC,YBL
CYBN,CFB Borden,CA,CA-ON,
CYBP,Brooks Regional,CA,CA-AB,
CYBQ,Tadoule Lake Airport,CA,CA-MB,XTL
CYBR,Brandon Municipal Airport,CA,CA-MB,YBR
CYBT,Brochet Airport,CA,CA-MB,YBT
CYBU,Nipawin Airport,CA,CA-SK,
CYBV,Berens River Airport,CA,CA-MB,YBV
CYBW,Calgary / Springbank Airport,CA,CA-AB,
CYBX,Lourdes de Blanc Sablon Airport,CA,CA-QC,YBX
CYCA,Cartwright Airport,CA,CA-NL,YRF
CYCB,Cambridge Bay Airport,CA,CA-NU,YCB
CYCC,Cornwall Regional Airport,CA,CA-ON,YCC
CYCD,Nanaimo Airport,CA,CA-BC,YCD
CYCE,Centralia / James T. Field Memorial Aerodrome,CA,CA-ON,YCE
CYCG,Castlegar/West Kootenay Regional Airport,CA,CA-BC,YCG
CYCH,Miramichi Airport,CA,CA-NB,YCH
CYCK,Chatham Kent Airport,CA,CA-ON,XCM
CYCL,Charlo Airport,CA,CA-NB,YCL
CYCN,Cochrane Airport,CA,CA-ON,YCN
CYCO,Kugluktuk Airport,CA,CA-NU,YCO
CYCP,Blue River Airport,CA,CA-BC,
CYCQ,Chetwynd Airport,CA,CA-BC,YCQ
CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,CA,CA-MB,YCR
CYCS,Chesterfield Inlet Airport,CA,CA-NU,YCS
CYCT,Coronation Airport,CA,CA-AB,YCT
CYCV,Cartierville Airport,CA,CA-QC,YCV
CYCW,Chilliwack Airport,CA,CA-BC,YCW
CYCX,CFB Gagetown Heliport,CA,CA-NB,
CYCY,Clyde River Airport,CA,CA-NU,YCY
CYCZ,Fairmont Hot Springs Airport,CA,CA-BC,YCZ
CYD,San Ignacio Downtown Airstrip,MX,MX-BCS,
CYDA,Dawson City Airport,CA,CA-YT,YDA
CYDB,Burwash Airport,CA,CA-YT,YDB
CYDC,Princeton Airport,CA,CA-BC,
CYDF,Deer Lake Airport,CA,CA-NL,YDF
CYDH,Ottawa / Dwyer Hill Heliport,CA,CA-ON,
CYDL,Dease Lake Airport,CA,CA-BC,YDL
CYDM,Ross River Airport,CA,CA-YT,XRR
CYDN,Dauphin Barker Airport,CA,CA-MB,YDN
CYDO,Dolbeau St Felicien Airport,CA,CA-QC,YDO
CYDP,Nain Airport,CA,CA-NL,YDP
CYDQ,Dawson Creek Airport,CA,CA-BC,YDQ
CYEA,Empress Airport,CA,CA-AB,
CYED,Edmonton (CFB Namao) Heliport,CA,CA-AB,
CYEE,Huronia Airport,CA,CA-ON,
CYEG,Edmonton International Airport,CA,CA-AB,YEG
CYEK,Arviat Airport,CA,CA-NU,YEK
CYEL,Elliot Lake Municipal Airport,CA,CA-ON,YEL
CYEM,Manitoulin East Municipal Airport,CA,CA-ON,YEM
CYEN,Estevan Airport,CA,CA-SK,YEN
CYER,Fort Severn Airport,CA,CA-ON,YER
CYES,Edmundston Airport,CA,CA-NB,
CYET,Edson Airport,CA,CA-AB,YET
CYEU,Eureka Airport,CA,CA-NU,YEU
CYEV,Inuvik Mike Zubko Airport,CA,CA-NT,YEV
CYEY,Amos/Magny Airport,CA,CA-QC,YEY
CYFA,Fort Albany Airport,CA,CA-ON,YFA
CYFB,Iqaluit Airport,CA,CA-NU,YFB
CYFC,Fredericton Airport,CA,CA-NB,YFC
CYFD,Brantford Municipal Airport,CA,CA-ON,
CYFE,Forestville Airport,CA,CA-QC,YFE
CYFH,Fort Hope Airport,CA,CA-ON,YFH
CYFJ,La Macaza / Mont-Tremblant International Inc Airport,CA,CA-QC,YTM
CYFO,Flin Flon Airport,CA,CA-MB,YFO
CYFR,Fort Resolution Airport,CA,CA-NT,YFR
CYFS,Fort Simpson Airport,CA,CA-NT,YFS
CYFT,Makkovik Airport,CA,CA-NL,YMN
CYGB,Texada Gillies Bay Airport,CA,CA-BC,YGB
CYGD,Goderich Airport,CA,CA-ON,
CYGE,Golden Airport,CA,CA-BC,
CYGH,Fort Good Hope Airport,CA,CA-NT,YGH
CYGK,Kingston Norman Rogers Airport,CA,CA-ON,YGK
CYGL,La Grande Rivière Airport,CA,CA-QC,YGL
CYGM,Gimli Industrial Park Airport,CA,CA-MB,YGM
CYGO,Gods Lake Narrows Airport,CA,CA-MB,YGO
CYGP,Gaspé (Michel-Pouliot) Airport,CA,CA-QC,YGP
CYGQ,Geraldton Greenstone Regional Airport,CA,CA-ON,YGQ
CYGR,Îles-de-la-Madeleine Airport,CA,CA-QC,YGR
CYGT,Igloolik Airport,CA,CA-NU,YGT
CYGV,Havre St Pierre Airport,CA,CA-QC,YGV
CYGW,Kuujjuarapik Airport,CA,CA-QC,YGW
CYGX,Gillam Airport,CA,CA-MB,YGX
CYGZ,Grise Fiord Airport,CA,CA-NU,YGZ
CYHA,Quaqtaq Airport,CA,CA-QC,YQC
CYHB,Hudson Bay Airport,CA,CA-SK,YHB
CYHC,Vancouver Harbour Water Aerodrome,CA,CA-BC,CXH
CYHD,Dryden Regional Airport,CA,CA-ON,YHD
CYHE,Hope Airport,CA,CA-BC,YHE
CYHF,Hearst René Fontaine Municipal Airport,CA,CA-ON,YHF
CYHH,Nemiscau Airport,CA,CA-QC,YNS
CYHI,Ulukhaktok Holman Airport,CA,CA-NT,YHI
CYHK,Gjoa Haven Airport,CA,CA-NU,YHK
CYHM,John C. Munro Hamilton International Airport,CA,CA-ON,YHM
CYHN,Hornepayne Municipal Airport,CA,CA-ON,YHN
CYHO,Hopedale Airport,CA,CA-NL,YHO
CYHR,Chevery Airport,CA,CA-QC,YHR
CYHS,Hanover / Saugeen Municipal Airport,CA,CA-ON,
CYHT,Haines Junction Airport,CA,CA-YT,YHT
CYHU,Montréal / Saint-Hubert Airport,CA,CA-QC,YHU
CYHY,Hay River / Merlyn Carter Airport,CA,CA-NT,YHY
CYHZ,Halifax / Stanfield International Airport,CA,CA-NS,YHZ
CYIB,Atikokan Municipal Airport,CA,CA-ON,YIB
CYID,Digby / Annapolis Regional Airport,CA,CA-NS,YDG
CYIF,St Augustin Airport,CA,CA-QC,YIF
CYIK,Ivujivik Airport,CA,CA-QC,YIK
CYIO,Pond Inlet Airport,CA,CA-NU,YIO
CYIV,Island Lake Airport,CA,CA-MB,YIV
CYJA,Jasper Airport,CA,CA-AB,YJA
CYJF,Fort Liard Airport,CA,CA-NT,YJF
CYJM,Fort St James Airport,CA,CA-BC,
CYJN,St Jean Airport,CA,CA-QC,YJN
CYJP,Fort Providence Airport,CA,CA-NT,
CYJQ,Denny Island Airport,CA,CA-BC,
CYJT,Stephenville Airport,CA,CA-NL,YJT
CYKA,Kamloops Airport,CA,CA-BC,YKA
CYKC,Collins Bay Airport,CA,CA-SK,YKC
CYKD,Aklavik/Freddie Carmichael Airport,CA,CA-NT,LAK
CYKF,Waterloo Airport,CA,CA-ON,YKF
CYKG,Kangiqsujuaq (Wakeham Bay) Airport,CA,CA-QC,YWB
CYKJ,Key Lake Airport,CA,CA-SK,YKJ
CYKL,Schefferville Airport,CA,CA-QC,YKL
CYKM,Kincardine Municipal Airport,CA,CA-ON,YKD
CYKO,Akulivik Airport,CA,CA-QC,AKV
CYKQ,Waskaganish Airport,CA,CA-QC,YKQ
CYKX,Kirkland Lake Airport,CA,CA-ON,YKX
CYKY,Kindersley Airport,CA,CA-SK,YKY
CYKZ,Buttonville Municipal Airport,CA,CA-ON,YKZ
CYLA,Aupaluk Airport,CA,CA-QC,YPJ
CYLB,Lac La Biche Airport,CA,CA-AB,YLB
CYLC,Kimmirut Airport,CA,CA-NU,YLC
CYLD,Chapleau Airport,CA,CA-ON,YLD
CYLH,Lansdowne House Airport,CA,CA-ON,YLH
CYLI,Lillooet Airport,CA,CA-BC,
CYLJ,Meadow Lake Airport,CA,CA-SK,YLJ
CYLK,Lutselk'e Airport,CA,CA-NT,YSG
CYLL,Lloydminster Airport,CA,CA-AB,YLL
CYLQ,La Tuque Airport,CA,CA-QC,YLQ
CYLR,Leaf Rapids Airport,CA,CA-MB,YLR
CYLS,Barrie-Orillia (Lake Simcoe Regional Airport),CA,CA-ON,YLK
CYLT,Alert Airport,CA,CA-NU,YLT
CYLU,Kangiqsualujjuaq (Georges River) Airport,CA,CA-QC,XGR
CYLW,Kelowna International Airport,CA,CA-BC,YLW
CYM,Chatham Seaplane Base,US,US-AK,CYM
CYMA,Mayo Airport,CA,CA-YT,YMA
CYME,Matane Airport,CA,CA-QC,YME
CYMG,Manitouwadge Airport,CA,CA-ON,YMG
CYMH,Mary's Harbour Airport,CA,CA-NL,YMH
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,CA-SK,YMJ
CYML,Charlevoix Airport,CA,CA-QC,YML
CYMM,Fort McMurray Airport,CA,CA-AB,YMM
CYMO,Moosonee Airport,CA,CA-ON,YMO
CYMT,Chapais Airport,CA,CA-QC,YMT
CYMU,Umiujaq Airport,CA,CA-QC,YUD
CYMW,Maniwaki Airport,CA,CA-QC,YMW
CYMX,Montreal International (Mirabel) Airport,CA,CA-QC,YMX
CYMY,Ear Falls Airport,CA,CA-ON,
CYN6,Gravenhurst/Muskoka Bay Seaplane Base,CA,CA-ON,
CYNA,Natashquan Airport,CA,CA-QC,YNA
CYNC,Wemindji Airport,CA,CA-QC,YNC
CYND,Ottawa / Gatineau Airport,CA,CA-QC,YND
CYNE,Norway House Airport,CA,CA-MB,YNE
CYNH,Hudsons Hope Airport,CA,CA-BC,YNH
CYNJ,Langley Airport,CA,CA-BC,YLY
CYNL,Points North Landing Airport,CA,CA-SK,YNL
CYNM,Matagami Airport,CA,CA-QC,YNM
CYNN,Nejanilini Lake Airport,CA,CA-MB,
CYNR,Fort Mackay / Horizon Airport,CA,CA-AB,HZP
CYOA,Ekati Airport,CA,CA-NT,YOA
CYOC,Old Crow Airport,CA,CA-YT,YOC
CYOD,CFB Cold Lake,CA,CA-AB,YOD
CYOH,Oxford House Airport,CA,CA-MB,YOH
CYOJ,High Level Airport,CA,CA-AB,YOJ
CYOO,Toronto/Oshawa Executive Airport,CA,CA-ON,YOO
CYOP,Rainbow Lake Airport,CA,CA-AB,YOP
CYOS,Owen Sound / Billy Bishop Regional Airport,CA,CA-ON,YOS
CYOW,Ottawa Macdonald-Cartier International Airport,CA,CA-ON,YOW
CYOY,C J.H.L.(Joe) Lecomte) Heliport,CA,CA-QC,YOY
CYP2,Halifax (Windsor Park) Heliport,CA,CA-NS,
CYPA,Prince Albert Glass Field,CA,CA-SK,YPA
CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,CA-NT,YPC
CYPD,Port Hawkesbury Airport,CA,CA-NS,YPS
CYPE,Peace River Airport,CA,CA-AB,YPE
CYPG,Southport Airport,CA,CA-MB,YPG
CYPH,Inukjuak Airport,CA,CA-QC,YPH
CYPK,Pitt Meadows Airport,CA,CA-BC,
CYPL,Pickle Lake Airport,CA,CA-ON,YPL
CYPM,Pikangikum Airport,CA,CA-ON,YPM
CYPN,Port Menier Airport,CA,CA-QC,YPN
CYPO,Peawanuck Airport,CA,CA-ON,YPO
CYPP,Parent Airport,CA,CA-QC,
CYPQ,Peterborough Airport,CA,CA-ON,YPQ
CYPR,Prince Rupert Airport,CA,CA-BC,YPR
CYPS,Pemberton Regional Airport,CA,CA-BC,
CYPT,Pelee Island Airport,CA,CA-ON,
CYPU,Puntzi Mountain Airport,CA,CA-BC,
CYPW,Powell River Airport,CA,CA-BC,YPW
CYPX,Puvirnituq Airport,CA,CA-QC,YPX
CYPY,Fort Chipewyan Airport,CA,CA-AB,YPY
CYPZ,Burns Lake Airport,CA,CA-BC,YPZ
CYQA,Muskoka Airport,CA,CA-ON,YQA
CYQB,Quebec Jean Lesage International Airport,CA,CA-QC,YQB
CYQD,The Pas Airport,CA,CA-MB,YQD
CYQF,Red Deer Regional Airport,CA,CA-AB,YQF
CYQG,Windsor Airport,CA,CA-ON,YQG
CYQH,Watson Lake Airport,CA,CA-YT,YQH
CYQI,Yarmouth Airport,CA,CA-NS,YQI
CYQK,Kenora Airport,CA,CA-ON,YQK
CYQL,Lethbridge County Airport,CA,CA-AB,YQL
CYQM,Greater Moncton International Airport,CA,CA-NB,YQM
CYQN,Nakina Airport,CA,CA-ON,YQN
CYQQ,Comox Airport,CA,CA-BC,YQQ
CYQR,Regina International Airport,CA,CA-SK,YQR
CYQS,St Thomas Municipal Airport,CA,CA-ON,YQS
CYQT,Thunder Bay Airport,CA,CA-ON,YQT
CYQU,Grande Prairie Airport,CA,CA-AB,YQU
CYQV,Yorkton Municipal Airport,CA,CA-SK,YQV
CYQW,North Battleford Airport,CA,CA-SK,YQW
CYQX,Gander International Airport,CA,CA-NL,YQX
CYQY,Sydney / J.A. Douglas McCurdy Airport,CA,CA-NS,YQY
CYQZ,Quesnel Airport,CA,CA-BC,YQZ
CYRA,Rae Lakes Airport,CA,CA-NT,YRA
CYRB,Resolute Bay Airport,CA,CA-NU,YRB
CYRC,Chicoutimi St Honoré Airport,CA,CA-QC,
CYRI,Rivière-du-Loup Airport,CA,CA-QC,YRI
CYRJ,Roberval Airport,CA,CA-QC,YRJ
CYRL,Red Lake Airport,CA,CA-ON,YRL
CYRM,Rocky Mountain House Airport,CA,CA-AB,YRM
CYRO,Ottawa / Rockcliffe Airport,CA,CA-ON,YRO
CYRP,Ottawa / Carp Airport,CA,CA-ON,
CYRQ,Trois-Rivières Airport,CA,CA-QC,YRQ
CYRS,Red Sucker Lake Airport,CA,CA-MB,YRS
CYRT,Rankin Inlet Airport,CA,CA-NU,YRT
CYRV,Revelstoke Airport,CA,CA-BC,YRV
CYS7,Sydenham District Hospital Heliport,CA,CA-ON,
CYSA,Stratford Municipal Airport,CA,CA-ON,
CYSB,Sudbury Airport,CA,CA-ON,YSB
CYSC,Sherbrooke Airport,CA,CA-QC,YSC
CYSD,Suffield Heliport,CA,CA-AB,YSD
CYSE,Squamish Airport,CA,CA-BC,YSE
CYSF,Stony Rapids Airport,CA,CA-SK,YSF
CYSG,St Georges Airport,CA,CA-QC,
CYSH,Smiths Falls-Montague (Russ Beach) Airport,CA,CA-ON,YSH
CYSJ,Saint John Airport,CA,CA-NB,YSJ
CYSK,Sanikiluaq Airport,CA,CA-NU,YSK
CYSL,St Leonard Airport,CA,CA-NB,YSL
CYSM,Fort Smith Airport,CA,CA-NT,YSM
CYSN,Niagara District Airport,CA,CA-ON,YCM
CYSP,Marathon Airport,CA,CA-ON,YSP
CYSQ,Atlin Airport,CA,CA-BC,
CYSR,Nanisivik Airport,CA,CA-NU,
CYST,St. Theresa Point Airport,CA,CA-MB,YST
CYSU,Summerside Airport,CA,CA-PE,YSU
CYSW,Sparwood Elk Valley Airport,CA,CA-BC,
CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CA,CA-NT,YSY
CYSZ,Ste Anne Des Monts Airport,CA,CA-QC,
CYTA,Pembroke Airport,CA,CA-ON,YTA
CYTE,Cape Dorset Airport,CA,CA-NU,YTE
CYTF,Alma Airport,CA,CA-QC,YTF
CYTH,Thompson Airport,CA,CA-MB,YTH
CYTL,Big Trout Lake Airport,CA,CA-ON,YTL
CYTN,Trenton Airport,CA,CA-NS,
CYTQ,Tasiujaq Airport,CA,CA-QC,YTQ
CYTR,CFB Trenton,CA,CA-ON,YTR
CYTS,Timmins/Victor M. Power,CA,CA-ON,YTS
CYTZ,Billy Bishop Toronto City Centre Airport,CA,CA-ON,YTZ
CYUB,Tuktoyaktuk Airport,CA,CA-NT,YUB
CYUL,Montreal / Pierre Elliott Trudeau International Airport,CA,CA-QC,YUL
CYUT,Repulse Bay Airport,CA,CA-NU,YUT
CYUX,Hall Beach Airport,CA,CA-NU,YUX
CYUY,Rouyn Noranda Airport,CA,CA-QC,YUY
CYVB,Bonaventure Airport,CA,CA-QC,YVB
CYVC,La Ronge Airport,CA,CA-SK,YVC
CYVD,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,CA,CA-MB,
CYVG,Vermilion Airport,CA,CA-AB,YVG
CYVK,Vernon Airport,CA,CA-BC,YVE
CYVL,Tommy Kochon Airport,CA,CA-NT,YCK
CYVM,Qikiqtarjuaq Airport,CA,CA-NU,YVM
CYVO,Val-d'Or Airport,CA,CA-QC,YVO
CYVP,Kuujjuaq Airport,CA,CA-QC,YVP
CYVQ,Norman Wells Airport,CA,CA-NT,YVQ
CYVR,Vancouver International Airport,CA,CA-BC,YVR
CYVT,Buffalo Narrows Airport,CA,CA-SK,YVT
CYVV,Wiarton Airport,CA,CA-ON,YVV
CYVZ,Deer Lake Airport,CA,CA-ON,YVZ
CYWA,Petawawa Airport,CA,CA-ON,YWA
CYWG,Winnipeg / James Armstrong Richardson International Airport,CA,CA-MB,YWG
CYWH,Victoria Harbour Seaplane Base,CA,CA-BC,YWH
CYWJ,Déline Airport,CA,CA-NT,YWJ
CYWK,Wabush Airport,CA,CA-NL,YWK
CYWL,Williams Lake Airport,CA,CA-BC,YWL
CYWM,Athabasca Airport,CA,CA-AB,
CYWP,Webequie Airport,CA,CA-ON,YWP
CYWV,Wainwright Airport,CA,CA-AB,
CYWY,Wrigley Airport,CA,CA-NT,YWY
CYXC,Cranbrook/Canadian Rockies International Airport,CA,CA-BC,YXC
CYXD,Edmonton City Centre (Blatchford Field) Airport,CA,CA-AB,YXD
