ident,name,iso_country,iso_region,iata_code
02CL,Conover Air Lodge Airport,US,US-CA,
02CO,Mc Cullough Airport,US,US-CO,
02CT,Strangers Point Heliport,US,US-CT,
02FA,Osborn Airfield,US,US-FL,
02FL,Cuchens Airport,US,US-FL,
02GA,Doug Bolton Field,US,US-GA,
02GE,Etowah Fields Airport,US,US-GA,
02HI,K3 Helipad Heliport,US,US-HI,
02IA,Boone County Hospital Heliport,US,US-IA,
02ID,Morgan Ranch Airport,US,US-ID,
02II,King Ultralightport,US,US-IN,
02IN,Diamond P. Field,US,US-IN,
02IS,Condell Medical Center Heliport,US,US-IL,
02KS,Jmj Landing Airport,US,US-KS,
02KT,St Claire Healthcare Heliport,US,US-KY,
02KY,Boone National Guard Heliport,US,US-KY,
02LA,La State Police Troop G Heliport,US,US-LA,
02LS,Windy Hill Heliport,US,US-LA,
02MA,Cuttyhunk Heliport,US,US-MA,
02MD,Garner Field,US,US-MD,
02ME,Nadeau's Airport,US,US-ME,
02MI,Fairplains Airpark,US,US-MI,
02MN,Greenbush Municipal Airport,US,US-MN,
02MO,Troy Airpark,US,US-MO,
02MS,Watts Field,US,US-MS,
02MT,Barrett Field,US,US-MT,
02MU,Timber Line Airpark,US,US-MO,
02NC,Race City Heliport,US,US-NC,
02NE,Benes Service Airport,US,US-NE,
02NH,Iroquois Landing Seaplane Base,US,US-NH,
02NJ,Penske Heliport,US,US-NJ,
02NV,Paiute Meadows Airport,US,US-NV,
02NY,Hansen Heliport,US,US-NY,
02OH,Zimmerman Airport,US,US-OH,
02OI,Murtha Airport,US,US-OH,
02OK,Canon Heliport,US,US-OK,
02OR,Rowena Dell Airport,US,US-OR,
02P,Stottle Memorial Heliport,US,US-PA,
02PA,Lag Iii Heliport,US,US-PA,
02PN,Peco Berwyn Heliport,US,US-PA,
02PR,Cuylers Airport,PR,PR-U-A,
02PS,Hughes Ultralightport,US,US-PA,
02SC,Harpers Airport,US,US-SC,
02T,Wise River Airport,US,US-MT,
02TA,Matagorda Shore Facility Heliport,US,US-TX,
02TE,Baylor Medical Center Heliport,US,US-TX,
02TN,Ellis Field,US,US-TN,
02TS,FWOMC Heliport,US,US-TX,
02TX,The Palms At Kitty Hawk Airport,US,US-TX,
02UT,Lucin Airport,US,US-UT,
02VA,The Greenhouse Airport,US,US-VA,
02VG,Northstar Aviation Heliport,US,US-VA,
02WA,Cawleys South Prairie Airport,US,US-WA,
02WI,Beer Airport,US,US-WI,
02WN,Fowler Field,US,US-WA,
02XA,JLS Farms Airport,US,US-TX,
02XS,Seidel Ranch Airport,US,US-TX,
03AA,Trapper T Heliport,US,US-AK,
03AK,Joe Clouds Seaplane Base,US,US-AK,
03AL,Highland Medical Center Heliport,US,US-AL,
03AR,Hscmh Heliport,US,US-AR,
03AZ,Thompson International Aviation Airport,US,US-AZ,
03CA,Grossmont Hospital Heliport,US,US-CA,
03CO,Kugel-Strong Airport,US,US-CO,
03FA,Lake Persimmon Airstrip,US,US-FL,
03FD,Tharpe Airport,US,US-FL,
03FL,Ranger Heliport,US,US-FL,
03GA,HIA Airport,US,US-IN,
03I,Clarks Dream Strip,US,US-OH,
03IA,East Field,US,US-IA,
03ID,Flying Y Ranch Airport,US,US-ID,
03II,Davis Field Ultralightport,US,US-IN,
03IL,Wix Airport,US,US-IL,
03IN,Heinzman Airport,US,US-IN,
03IS,OSF St Anthony's Health Center Heliport,US,US-IL,
03KS,Valley Grain Heliport,US,US-KS,
03KY,Flying H Farms Airport,US,US-KY,
03LA,Damien Heliport,US,US-LA,
03LS,Fmc Nr 1 Heliport,US,US-LA,
03M,Lakeside Marina Seaplane Base,US,US-ME,
